student_id,gender,ethnicity_group,parent_education,lunch_type,test_preparation,study_hours_week,attendance_rate,tutoring,extracurricular,math_score,reading_score,writing_score,final_grade_pct,passed
1,Female,Group B,Associate's,Standard,Completed,2.3,0.948,Yes,No,69.9,67.7,65.1,67.6,1
2,Male,Group B,Bachelor's,Standard,Completed,3.0,0.824,Yes,Yes,87.9,84.9,83.9,85.6,1
3,Male,Group E,Bachelor's,Free/Reduced,Not Completed,12.3,0.803,No,No,73.4,64.2,64.8,67.5,1
4,Male,Group B,High School,Standard,Completed,6.4,0.932,No,No,78.6,78.5,75.1,77.4,1
5,Female,Group B,High School,Standard,Not Completed,10.3,0.85,Yes,Yes,71.4,73.8,70.2,71.8,1
6,Female,Group D,Some College,Free/Reduced,Not Completed,10.4,0.774,Yes,Yes,57.4,64.5,50.2,57.4,0
7,Female,Group C,Some College,Standard,Completed,5.8,0.978,No,Yes,87.5,97.5,93.1,92.7,1
8,Male,Group D,Some College,Standard,Not Completed,9.1,1.0,Yes,Yes,91.9,92.8,83.9,89.5,1
9,Male,Group A,Associate's,Standard,Completed,5.6,1.0,No,Yes,90.1,94.1,81.2,88.5,1
10,Male,Group C,High School,Standard,Not Completed,5.0,0.915,No,Yes,59.3,62.7,42.8,54.9,0
11,Female,Group A,High School,Free/Reduced,Completed,4.2,0.95,Yes,No,75.1,76.6,68.9,73.5,1
12,Male,Group A,Some College,Free/Reduced,Not Completed,8.8,1.0,No,No,72.9,74.7,78.9,75.5,1
13,Male,Group E,Associate's,Free/Reduced,Not Completed,13.6,0.849,Yes,No,99.3,93.8,89.9,94.3,1
14,Female,Group A,High School,Standard,Not Completed,12.7,0.989,No,Yes,82.8,95.9,81.5,86.7,1
15,Female,Group C,Associate's,Standard,Completed,2.7,0.922,No,No,69.5,74.2,70.0,71.2,1
16,Female,Group C,Some College,Free/Reduced,Completed,13.4,0.973,No,Yes,73.6,73.4,66.8,71.3,1
